contrast,homogeneity,energy,correlation,entropy,mean,std_deviation,variance,skewness,kurtosis,min,max,range,filename,category
629.246337890625,0.10298774702065228,0.08545138896570792,0.41750396789176764,2.985413487039178,134.99395751953125,82.73606378182082,6845.2562501095235,-0.004978610587807987,-1.5241160731383216,8,254,246,15-scale_1_im_1_grey.png,aluminium_foil
571.6049296061198,0.09903073986611677,0.07587469670001999,0.4164127990656951,3.0405973588019126,82.81658935546875,74.11327037970538,5492.776846375316,0.9945640106876766,-0.313679249125943,5,255,250,15-scale_1_im_2_grey.png,aluminium_foil
291.40732828776044,0.10227633660036456,0.07803207600318454,0.43661229060863294,3.0323363007485833,93.46978759765625,76.13824780369585,5797.032778616995,0.8710854611945534,-0.5974872736492283,8,254,246,15-scale_1_im_3_grey.png,aluminium_foil
1183.070068359375,0.09916713150244638,0.06941809228158224,0.30657577997274454,3.0684472621631373,44.41473388671875,56.857642914694644,3232.791557814926,2.2563771738325644,4.341440182652578,1,255,254,15-scale_1_im_4_grey.png,aluminium_foil
1115.1749674479167,0.08423255140847388,0.0661909997619685,0.30347243840593696,3.1122452970305674,51.0557861328125,54.38897932925105,2958.1610724776983,2.2393226246131857,4.5120477933551415,1,254,253,15-scale_1_im_5_grey.png,aluminium_foil
974.6100769042969,0.06154662844156191,0.06140962151772934,0.3201056288801542,3.1841465507473248,56.177490234375,52.49821533564393,2756.062613427639,1.9324063550901216,3.3723462137216984,1,255,254,15-scale_1_im_6_grey.png,aluminium_foil
628.9285380045573,0.07993031009542537,0.07165437093291341,0.40933024427656706,3.10367408681394,110.6712646484375,75.01829424967708,5627.744472131133,0.5727049762976645,-1.0277821766157302,8,254,246,15-scale_1_im_7_grey.png,aluminium_foil
659.215087890625,0.07114424735146185,0.06627785360151661,0.4091700585875775,3.1324017995784668,104.12255859375,78.67309376474334,6189.455682516098,0.4606064490663937,-1.188749606034522,3,254,251,15-scale_1_im_8_grey.png,aluminium_foil
392.6341756184895,0.10324063961383566,0.07132789356422299,0.40513796142070646,3.0539060369238307,80.44232177734375,70.19289023283096,4927.041839238256,1.1181368077279612,0.006345300343643334,8,254,246,15-scale_1_im_9_grey.png,aluminium_foil
2378.096974690755,0.06104546695348653,0.0718480477734855,0.31614081577178677,3.1175972222596315,118.45343017578125,84.73765108226078,7180.469510938972,0.317917453572738,-1.4485745112887578,0,255,255,15-scale_2_im_1_grey.png,aluminium_foil
1800.5882873535156,0.06720528486054411,0.06772436974181803,0.3355042487686956,3.129227385158963,83.34033203125,74.94037518779976,5616.059833288193,1.009609078651956,-0.2857239589206544,0,255,255,15-scale_2_im_2_grey.png,aluminium_foil
859.3288269042969,0.0706278563852188,0.07124490886395442,0.35441310536897674,3.11786129851804,92.29852294921875,71.16744331541422,5064.804988052696,0.950867077454042,-0.3684640771673968,7,254,247,15-scale_2_im_3_grey.png,aluminium_foil
1998.6572265625,0.055162586779737996,0.06276291142337442,0.2727530292920256,3.1813019340200266,77.82464599609375,67.18169997128614,4513.380811031908,1.3164974230674287,0.5734810776408286,4,255,251,15-scale_2_im_4_grey.png,aluminium_foil
1530.9668070475261,0.04717466757105106,0.05947889050922189,0.27048178819698027,3.2069748774204263,69.6622314453125,57.542964793005666,3311.1927971690893,1.6834045332427399,2.171345445343084,3,255,252,15-scale_2_im_5_grey.png,aluminium_foil
1407.4936116536458,0.05316581742579617,0.06106090864551338,0.2824969316563931,3.1874803168246206,73.51605224609375,60.34629567343038,3641.675401505083,1.4402193306129498,1.2298626775523456,0,254,254,15-scale_2_im_6_grey.png,aluminium_foil
2015.5354410807295,0.05306011684163996,0.06223131497849789,0.29217175094848863,3.187569395026372,97.16436767578125,74.53040174023032,5554.780783560127,0.8113035935407404,-0.6759459150541489,2,255,253,15-scale_2_im_7_grey.png,aluminium_foil
2520.7770182291665,0.06027291626855697,0.06907926189190366,0.31998757786946075,3.1348491396104565,105.84515380859375,85.57184144644728,7322.540048535913,0.5024239254307631,-1.3036594874053624,1,255,254,15-scale_2_im_8_grey.png,aluminium_foil
1162.5255839029946,0.06357827314385928,0.0661300185231531,0.33607958368420343,3.1506008194935795,82.24652099609375,70.13818901258352,4919.365557964891,1.1371265937286676,0.030704239801280675,2,255,253,15-scale_2_im_9_grey.png,aluminium_foil
3330.1597086588545,0.05285090815250271,0.0707067613166468,0.2852936797553471,3.1345561960993042,120.24530029296875,82.60572103426304,6823.705147590488,0.31868503000388454,-1.4301863229498746,2,255,253,15-scale_3_im_1_grey.png,aluminium_foil
